id,text,target,stance,sarcasm,sentiment,datetime
0,  ما أرآه ولله الحمد من تمكين للمرأة يدل على أن الأنظمة التي تمكنها من إتخاذ قرارها بنفسها وأيضاً القوانين التي تحمي المرأة ستأتي تباعاً المسألة مسألة وقت الجميلة Rawan🙏🏽,Women empowerment,Favor,No,Positive,2021-04-22 17:07:51+00:00
1,انا لو يخيروني اخذ التطعيم عشان اسافر ولا اتم قاعد بديرتي ... بتم بديرتي ولا اخذه ... و اذا الديرة شرطت علي اخذه فرض ... بطلع لجوء ✌️... #الكويت #تطعيم_كورونا #كورونا,Covid Vaccine,Against,No,Neutral,2020-12-10 19:19:24+00:00
2,MENTION تطعيم لكل الناس لمرض نسبة الشفاء منه ٩٩% انت بالله كيف تحسبها فهمني ؟؟ الحين واحد مايضره كورونا اروح اعطيه لقاح يجيب له جلطه او قصور في عضلة القلب بالله اقتعني كيف انت مقتنع به ؟,Covid Vaccine,Against,No,Negative,2021-06-01 11:32:31+00:00
3,"""المملكة جادة جدا في دعم ملف تمكين المرأة"".. وكيلة وزارة الموارد البشرية والتنمية الاجتماعية #السعودية لتمكين المرأة هند الزاهد تقول إن تعيين المرأة في بلادها بمنصب قاضية بات قريبا ",Women empowerment,Favor,No,Neutral,2021-01-16 07:35:18+00:00
4, اقسم الله اللي يصير يضيق الصدر.. معقولة كثير من بناتنا انسلخوا من دينهم وبعضهم ارتد؟؟  تمكين المرأة ما وراه الا الخراب والنسويات يغسلون عقول بناتنا  لازم يوقفون هذا الشيء عن حده.. ما اقول الا حسبنا الله ونعم الوكيل,Women empowerment,Against,No,Negative,2020-12-17 07:18:31+00:00
5, يسلمك ربي من كل شر يا بو يعقوب 🌷 هذا اللي أخذناه من تطعيم كورونا وأنا أختك 🤦🏻‍♀️ الله المستعان والحمدلله على كل حال,Covid Vaccine,None,No,Neutral,2021-12-12 06:47:32+00:00
6,#نساء_المستقبل | نبارك لسعادة الدكتورة #تهاني_الدسيماني  اختيار ورقتها العليمة ضمن 21 مشاركة بالمؤتمر الدولي للتعليم المفتوح | #نفخر_بك  #تمكين_المرأة ,Women empowerment,Favor,No,Positive,2021-10-02 13:53:44+00:00
7,تسعى حكومتنا-حفظها الله- إلى تمكين المرأة من العمل الذي يكفل لها حياة كريمة. إن ضمان العمل للمرأة التي تحتاج له من ضروريات الحياة لتعف نفسها ويمهد لها سبل المعيشة الكريمة. أدعوا إلى منح أولوية التوظيف للفتيات المؤهلات اللواتي يجدن أنفسهن بدون عائل بسبب تقلبات الدهر.,Women empowerment,Favor,No,Positive,2022-01-21 10:46:44+00:00
8,سبحان الله ☝️ اخس البقر يتكلمون انتي ي حثله المجتمع التي بعتي دينك بعرض دنيا 👊  شوفي شون دولتكم ✉👎 هذي لي يبي حرية الرأي والتعبير المراة تمكين المراة والترفية الاختلاط فتح باب للمتربصين بنا فتنه بين المسلمين ✉👊 يارب العالمين يتعظون قومي من هذي الفتنه المراة والترفية ☝️🇸🇦🕋🇸🇦 ,Women empowerment,Against,No,Negative,2021-02-15 10:53:27+00:00
9, عادي اتذكر كنا في مركز تطعيم كورونا قبل سنه وجانا شخصيه(انثى) لو استمرت لاحظات زياده معي اثناء اخذها للتطعيم صاحت  من كثر ماتحاول انها تبين لي انها مشهوره  وانا ماابديت اي رده فعل🙏🏻😂,Covid Vaccine,Favor,No,Neutral,2022-04-15 13:42:23+00:00
